#,Country (or dependency),Population,Yearly,Net,Density,Land Area,Migrants,Fert.,Med.,Urban,World
,,-2020,Change,Change,(P/Km²),(Km²),(net),Rate,Age,Pop %,Share
1,China,"1,43,93,23,776",0.39%,"55,40,090",153,"93,88,211","-3,48,399",1.7,38,61%,18.47%
2,India,"1,38,00,04,385",0.99%,"1,35,86,631",464,"29,73,190","-5,32,687",2.2,28,35%,17.70%
3,United States,"33,10,02,651",0.59%,"19,37,734",36,"91,47,420","9,54,806",1.8,38,83%,4.25%
4,Indonesia,"27,35,23,615",1.07%,"28,98,047",151,"18,11,570","-98,955",2.3,30,56%,3.51%
5,Pakistan,"22,08,92,340",2.00%,"43,27,022",287,"7,70,880","-2,33,379",3.6,23,35%,2.83%
6,Brazil,"21,25,59,417",0.72%,"15,09,890",25,"83,58,140","21,200",1.7,33,88%,2.73%
7,Nigeria,"20,61,39,589",2.58%,"51,75,990",226,"9,10,770","-60,000",5.4,18,52%,2.64%
8,Bangladesh,"16,46,89,383",1.01%,"16,43,222","1,265","1,30,170","-3,69,501",2.1,28,39%,2.11%
9,Russia,"14,59,34,462",0.04%,"62,206",9,"1,63,76,870","1,82,456",1.8,40,74%,1.87%
10,Mexico,"12,89,32,753",1.06%,"13,57,224",66,"19,43,950","-60,000",2.1,29,84%,1.65%
11,Japan,"12,64,76,461",-0.30%,"-3,83,840",347,"3,64,555","71,560",1.4,48,92%,1.62%
12,Ethiopia,"11,49,63,588",2.57%,"28,84,858",115,"10,00,000","30,000",4.3,19,21%,1.47%
13,Philippines,"10,95,81,078",1.35%,"14,64,463",368,"2,98,170","-67,152",2.6,26,47%,1.41%
14,Egypt,"10,23,34,404",1.94%,"19,46,331",103,"9,95,450","-38,033",3.3,25,43%,1.31%
15,Vietnam,"9,73,38,579",0.91%,"8,76,473",314,"3,10,070","-80,000",2.1,32,38%,1.25%
16,DR Congo,"8,95,61,403",3.19%,"27,70,836",40,"22,67,050","23,861",6,17,46%,1.15%
17,Turkey,"8,43,39,067",1.09%,"9,09,452",110,"7,69,630","2,83,922",2.1,32,76%,1.08%
18,Iran,"8,39,92,949",1.30%,"10,79,043",52,"16,28,550","-55,000",2.2,32,76%,1.08%
19,Germany,"8,37,83,942",0.32%,"2,66,897",240,"3,48,560","5,43,822",1.6,46,76%,1.07%
20,Thailand,"6,97,99,978",0.25%,"1,74,396",137,"5,10,890","19,444",1.5,40,51%,0.90%
21,United Kingdom,"6,78,86,011",0.53%,"3,55,839",281,"2,41,930","2,60,650",1.8,40,83%,0.87%
22,France,"6,52,73,511",0.22%,"1,43,783",119,"5,47,557","36,527",1.9,42,82%,0.84%
23,Italy,"6,04,61,826",-0.15%,"-88,249",206,"2,94,140","1,48,943",1.3,47,69%,0.78%
24,Tanzania,"5,97,34,218",2.98%,"17,28,755",67,"8,85,800","-40,076",4.9,18,37%,0.77%
25,South Africa,"5,93,08,690",1.28%,"7,50,420",49,"12,13,090","1,45,405",2.4,28,67%,0.76%
26,Myanmar,"5,44,09,800",0.67%,"3,64,380",83,"6,53,290","-1,63,313",2.2,29,31%,0.70%
27,Kenya,"5,37,71,296",2.28%,"11,97,323",94,"5,69,140","-10,000",3.5,20,28%,0.69%
28,South Korea,"5,12,69,185",0.09%,"43,877",527,"97,230","11,731",1.1,44,82%,0.66%
29,Colombia,"5,08,82,891",1.08%,"5,43,448",46,"11,09,500","2,04,796",1.8,31,80%,0.65%
30,Spain,"4,67,54,778",0.04%,"18,002",94,"4,98,800","40,000",1.3,45,80%,0.60%
31,Uganda,"4,57,41,007",3.32%,"14,71,413",229,"1,99,810","1,68,694",5,17,26%,0.59%
32,Argentina,"4,51,95,774",0.93%,"4,15,097",17,"27,36,690","4,800",2.3,32,93%,0.58%
33,Algeria,"4,38,51,044",1.85%,"7,97,990",18,"23,81,740","-10,000",3.1,29,73%,0.56%
34,Sudan,"4,38,49,260",2.42%,"10,36,022",25,"17,65,048","-50,000",4.4,20,35%,0.56%
35,Ukraine,"4,37,33,762",-0.59%,"-2,59,876",75,"5,79,320","10,000",1.4,41,69%,0.56%
36,Iraq,"4,02,22,493",2.32%,"9,12,710",93,"4,34,320","7,834",3.7,21,73%,0.52%
37,Afghanistan,"3,89,28,346",2.33%,"8,86,592",60,"6,52,860","-62,920",4.6,18,25%,0.50%
38,Poland,"3,78,46,611",-0.11%,"-41,157",124,"3,06,230","-29,395",1.4,42,60%,0.49%
39,Canada,"3,77,42,154",0.89%,"3,31,107",4,"90,93,510","2,42,032",1.5,41,81%,0.48%
40,Morocco,"3,69,10,560",1.20%,"4,38,791",83,"4,46,300","-51,419",2.4,30,64%,0.47%
41,Saudi Arabia,"3,48,13,871",1.59%,"5,45,343",16,"21,49,690","1,34,979",2.3,32,84%,0.45%
42,Uzbekistan,"3,34,69,203",1.48%,"4,87,487",79,"4,25,400","-8,863",2.4,28,50%,0.43%
43,Peru,"3,29,71,854",1.42%,"4,61,401",26,"12,80,000","99,069",2.3,31,79%,0.42%
44,Angola,"3,28,66,272",3.27%,"10,40,977",26,"12,46,700","6,413",5.6,17,67%,0.42%
45,Malaysia,"3,23,65,999",1.30%,"4,16,222",99,"3,28,550","50,000",2,30,78%,0.42%
46,Mozambique,"3,12,55,435",2.93%,"8,89,399",40,"7,86,380","-5,000",4.9,18,38%,0.40%
47,Ghana,"3,10,72,940",2.15%,"6,55,084",137,"2,27,540","-10,000",3.9,22,57%,0.40%
48,Yemen,"2,98,25,964",2.28%,"6,64,042",56,"5,27,970","-30,000",3.8,20,38%,0.38%
49,Nepal,"2,91,36,808",1.85%,"5,28,098",203,"1,43,350","41,710",1.9,25,21%,0.37%
50,Venezuela,"2,84,35,940",-0.28%,"-79,889",32,"8,82,050","-6,53,249",2.3,30,N.A.,0.36%
51,Madagascar,"2,76,91,018",2.68%,"7,21,711",48,"5,81,795","-1,500",4.1,20,39%,0.36%
52,Cameroon,"2,65,45,863",2.59%,"6,69,483",56,"4,72,710","-4,800",4.6,19,56%,0.34%
53,Côte d'Ivoire,"2,63,78,274",2.57%,"6,61,730",83,"3,18,000","-8,000",4.7,19,51%,0.34%
54,North Korea,"2,57,78,816",0.44%,"1,12,655",214,"1,20,410","-5,403",1.9,35,63%,0.33%
55,Australia,"2,54,99,884",1.18%,"2,96,686",3,"76,82,300","1,58,246",1.8,38,86%,0.33%
56,Niger,"2,42,06,644",3.84%,"8,95,929",19,"12,66,700","4,000",7,15,17%,0.31%
57,Taiwan,"2,38,16,775",0.18%,"42,899",673,"35,410","30,001",1.2,42,79%,0.31%
58,Sri Lanka,"2,14,13,249",0.42%,"89,516",341,"62,710","-97,986",2.2,34,18%,0.27%
59,Burkina Faso,"2,09,03,273",2.86%,"5,81,895",76,"2,73,600","-25,000",5.2,18,31%,0.27%
60,Mali,"2,02,50,833",3.02%,"5,92,802",17,"12,20,190","-40,000",5.9,16,44%,0.26%
